Address,Town,Mature,Lease Commence Date,Floor Area Map,Lat,Long,Nearest_MRT,Distance_to_MRT,Nearest_Mall,Distance_to_Mall
1 BEACH RD,KALLANG/WHAMPOA,1,1979,"{'3 ROOM': 68.0, '5 ROOM': 153.0}",1.3036713506088,103.864478660925,Nicoll Highway MRT,0.444,Aperia Mall,0.802
1 BEDOK STH AVE 1,BEDOK,1,1976,"{'3 ROOM': 59.0, '5 ROOM': 136.0}",1.32085208689731,103.933721091441,Bedok MRT,0.542,Bedok Mall,0.658
1 CHAI CHEE RD,BEDOK,1,1983,"{'4 ROOM': 103.0, '5 ROOM': 133.0}",1.32796879176302,103.922716018139,Bedok North MRT,0.919,Bedok Mall,0.811
1 CHANGI VILLAGE RD,PASIR RIS,1,1980,{'3 ROOM': 66.0},1.38854656229022,103.987804503483,Pasir Ris MRT,4.616,Downtown East,3.844
1 DELTA AVE,BUKIT MERAH,1,1983,{'5 ROOM': 119.0},1.2920752508431,103.828584077626,Great World MRT,0.608,Valley Point,0.201
1 DOVER RD,QUEENSTOWN,1,1975,{'3 ROOM': 65.0},1.3025299473495,103.783271662459,one-north MRT,0.558,The Star Vista,0.756
1 EVERTON PK,BUKIT MERAH,1,1980,"{'3 ROOM': 72.0, '5 ROOM': 138.0}",1.27742654288695,103.840001188095,Outram Park MRT,0.313,100 AM,0.498
1 GHIM MOH RD,QUEENSTOWN,1,1976,"{'3 ROOM': 65.0, '5 ROOM': 130.0}",1.31287975684307,103.786855017635,Buona Vista MRT,0.832,The Star Vista,0.68
1 HAIG RD,GEYLANG,1,1982,{'3 ROOM': 59.0},1.31129091152627,103.897703432652,Paya Lebar MRT,0.897,Kinex,0.496
1 HOUGANG AVE 3,HOUGANG,0,1975,"{'3 ROOM': 59.0, '5 ROOM': 118.0}",1.36413097349222,103.89300132385,Hougang MRT,0.695,Hougang Mall,0.934
1 JLN BT MERAH,BUKIT MERAH,1,1983,{'3 ROOM': 64.0},1.28645354030174,103.808242400418,Queenstown MRT,0.932,Anchorpoint,0.432
1 KG KAYU RD,KALLANG/WHAMPOA,1,1984,{'3 ROOM': 62.0},1.30355769675629,103.883796413118,Mountbatten MRT,0.301,Kallang Wave Mall,1.185
1 LOR 7 TOA PAYOH,TOA PAYOH,1,1969,{'3 ROOM': 67.0},1.33943033543358,103.853442790992,Braddell MRT,0.747,Junction 8,1.335
1 LOR LEW LIAN,SERANGOON,1,1978,{'3 ROOM': 64.0},1.35086712646948,103.875343939672,Serangoon MRT,0.287,NEX,0.339
1 MARINE TER,MARINE PARADE,1,1975,{'5 ROOM': 120.0},1.30482902187779,103.918614976369,Marine Terrace MRT,0.44,i12 Katong,1.509
1 MARSILING DR,WOODLANDS,0,1974,"{'3 ROOM': 65.0, '5 ROOM': 151.0}",1.44067109860246,103.775739945213,Marsiling MRT,0.925,Causeway Point,1.221
1 PINE CL,GEYLANG,1,2000,"{'4 ROOM': 95.0, '5 ROOM': 110.0}",1.30787056219408,103.883192164927,Mountbatten MRT,0.192,Kallang Wave Mall,1.237
1 QUEEN'S RD,BUKIT TIMAH,1,1974,{'5 ROOM': 123.0},1.31726629524359,103.806782877524,Farrer Road MRT,0.069,The Star Vista,2.34
1 ST. GEORGE'S RD,KALLANG/WHAMPOA,1,1976,{'4 ROOM': 82.0},1.32340263694069,103.86163080083,Boon Keng MRT,0.388,The Poiz Centre,1.16
1 TECK WHYE AVE,CHOA CHU KANG,0,1984,"{'3 ROOM': 74.0, '4 ROOM': 103.0, 'EXECUTIVE': 148.0}",1.38253882861956,103.751710905678,Choa Chu Kang MRT,0.904,Lot One,0.773
1 TELOK BLANGAH CRES,BUKIT MERAH,1,1983,{'3 ROOM': 66.0},1.27945660077329,103.817897561986,Redhill MRT,1.139,Tiong Bahru Plaza,1.278
1 TG PAGAR PLAZA,CENTRAL AREA,0,1977,{'3 ROOM': 59.0},1.27568847511494,103.842433449984,Tanjong Pagar MRT,0.379,100 AM,0.168
1 TOH YI DR,BUKIT TIMAH,1,1988,"{'4 ROOM': 104.0, '5 ROOM': 122.0}",1.33958155877064,103.774586318946,Beauty World MRT,0.195,Kap Mall,0.6
10 CHAI CHEE RD,BEDOK,1,2001,"{'4 ROOM': 90.0, '5 ROOM': 120.0}",1.32727572366021,103.924803599281,Bedok MRT,0.683,Bedok Mall,0.57
10 EUNOS CRES,GEYLANG,1,1978,{'4 ROOM': 91.0},1.32228655863065,103.902720513959,Eunos MRT,0.284,Singpost Centre,0.944
10 GLOUCESTER RD,KALLANG/WHAMPOA,1,1976,"{'3 ROOM': 67.0, '4 ROOM': 92.0, '5 ROOM': 134.0}",1.31391658721965,103.852209769739,Farrer Park MRT,0.296,City Square Mall,0.564
10 HAIG RD,GEYLANG,1,1976,{'3 ROOM': 65.0},1.31483950176268,103.895865169739,Paya Lebar MRT,0.482,Kinex,0.128
10 HOLLAND AVE,QUEENSTOWN,1,1975,{'4 ROOM': 88.0},1.30814997104791,103.794275184926,Buona Vista MRT,0.482,The Star Vista,0.664
10 JLN BATU,KALLANG/WHAMPOA,1,1986,"{'4 ROOM': 105.0, '5 ROOM': 131.0, 'EXECUTIVE': 141.0}",1.30204488252463,103.882887148325,Mountbatten MRT,0.457,Kallang Wave Mall,1.089
10 JLN BT HO SWEE,BUKIT MERAH,1,1971,{'2 ROOM': 34.0},1.28745837020188,103.832675765986,Havelock MRT,0.154,Tiong Bahru Plaza,0.639
10 JLN KUKOH,CENTRAL AREA,0,1971,"{'2 ROOM': 53.0, '3 ROOM': 76.0, '4 ROOM': 107.0}",1.2869738344398,103.839075823483,Chinatown MRT,0.562,Robertson Walk,0.61
10 JLN RUMAH TINGGI,BUKIT MERAH,1,1988,{'3 ROOM': 67.0},1.28820018880462,103.808369387433,Queenstown MRT,0.751,Anchorpoint,0.376
10 JOO SENG RD,TOA PAYOH,1,1983,{'5 ROOM': 119.0},1.33461833377097,103.88016502252,Bartley MRT,0.87,The Woodleigh Mall,1.049
10 LOR 7 TOA PAYOH,TOA PAYOH,1,1998,"{'4 ROOM': 104.0, '5 ROOM': 120.0}",1.33716527577081,103.857228807914,Toa Payoh MRT,1.193,The Poiz Centre,1.374
10 MARSILING DR,WOODLANDS,0,1976,{'5 ROOM': 126.0},1.44080567418718,103.777318569996,Marsiling MRT,0.989,Causeway Point,1.073
10 PINE CL,GEYLANG,1,1981,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.30915239429834,103.882242524292,Mountbatten MRT,0.345,Kallang Wave Mall,1.216
